id,latitude,longitude,population,capacity
393216,8.47858,-13.2375,9,9
393217,7.53037,-11.5192,9,9
393218,7.88706,-12.1299,12,12
393219,8.47845,-13.2639,7,7
393220,8.14574,-12.3666,3,3
786438,8.46905,-13.2647,3,3
1,8.44602,-13.2805,6,6
786440,8.29436,-11.2261,5,5
917513,8.90387,-10.58,5,5
524299,8.67057,-11.8815,2,2
524300,7.31553,-11.3084,11,11
917517,9.19762,-12.9174,5,5
524302,8.17874,-11.9703,8,8
567981,9.18875,-11.4382,3,3
262163,8.63463,-10.9902,8,8
262165,7.86781,-11.3359,2,2
917529,8.47945,-13.2719,11,11
655386,8.4942,-13.2993,5,5
655387,7.96644,-11.7395,4,4
655388,8.43464,-11.9082,4,4
655389,7.86643,-11.2522,3,3
655390,8.313,-13.0577,8,8
131106,9.25097,-12.5354,7,7
131109,8.47396,-13.238,10,10
21852,9.04838,-11.8034,3,3
786439,9.38071,-12.3362,5,5
45,8.23223,-12.6777,5,5
786480,9.05038,-11.7673,2,2
327689,8.48619,-13.223,7,7
655418,7.46196,-11.637,4,4
655419,9.21467,-12.3517,7,7
655420,9.42505,-11.0522,4,4
327690,8.40475,-11.7298,3,3
262207,7.87605,-11.9053,5,5
917572,8.54333,-11.9936,3,3
458764,8.78046,-10.9859,3,3
393298,8.47511,-13.2508,7,7
393299,8.62958,-11.3813,5,5
393300,8.50848,-11.4071,9,9
393301,8.31274,-10.9036,2,2
393302,7.86158,-10.7483,3,3
393303,9.3348,-10.9178,7,7
393304,8.16896,-11.0764,8,8
393305,8.1653,-10.7754,5,5
393306,8.40455,-10.3676,7,7
393307,9.44947,-12.3991,1,1
393308,8.46496,-13.173,5,5
393309,8.20258,-12.2041,3,3
393310,9.08529,-12.6401,5,5
262240,7.81633,-11.4744,4,4
589840,8.86125,-12.0395,4,4
131170,8.49091,-13.2449,5,5
786532,8.46751,-13.2624,5,5
262245,8.0387,-12.0324,8,8
327697,8.33415,-10.2953,5,5
786541,8.47897,-13.2623,9,9
262254,8.47134,-13.2362,7,7
262259,9.49478,-12.2384,6,6
262260,8.17542,-10.4943,8,8
873833,8.34982,-10.794,6,6
327702,8.3665,-10.3549,4,4
262278,9.07058,-12.7488,5,5
262279,8.49054,-13.2429,5,5
262280,7.61245,-11.0783,5,5
262283,7.67422,-11.4861,7,7
873837,8.95257,-13.2601,4,4
393361,8.03922,-12.0935,6,6
393364,7.03285,-11.4738,4,4
851993,7.65635,-11.7316,10,10
262300,7.64224,-12.2768,2,2
917530,8.09276,-12.1755,6,6
262304,8.63725,-12.7103,3,3
742768,7.86087,-11.6759,3,3
655523,8.21204,-11.0645,14,14
830150,9.56516,-11.0723,3,3
524465,9.23566,-12.3344,5,5
524466,8.21622,-12.0036,6,6
262323,8.35798,-12.9088,4,4
524468,8.81452,-12.9306,5,5
524469,8.48051,-13.2524,9,9
524470,8.81499,-11.9743,4,4
524471,8.48082,-13.2479,11,11
524472,8.253,-12.0887,6,6
519384,7.54433,-12.05,5,5
895690,8.11523,-12.0789,6,6
524478,7.95384,-11.7327,11,11
917695,8.5757,-11.4293,6,6
131265,7.95845,-11.7653,5,5
393422,8.46454,-13.2556,4,4
393423,8.45524,-12.5302,9,9
393424,7.90291,-11.2444,12,12
393425,9.8526,-12.2446,10,10
393426,8.48629,-13.2463,9,9
393427,8.40815,-11.948,4,4
393428,8.46884,-10.9152,5,5
393429,8.20803,-10.5349,4,4
393430,8.46753,-12.2061,4,4
655575,7.34527,-11.683,4,4
655576,7.62663,-11.2557,7,7
655577,9.25311,-11.7434,9,9
655578,7.35015,-12.0864,6,6
655579,8.21954,-11.448,6,6
524508,8.76594,-12.7849,11,11
524509,8.08078,-11.1209,6,6
524510,8.48112,-13.2419,2,2
524511,7.52092,-11.5477,3,3
226,8.48982,-13.2587,4,4
130943,9.13605,-12.5828,6,6
393444,8.88292,-12.0482,5,5
786671,9.32413,-12.1487,3,3
262398,8.6532,-12.7255,9,9
262399,8.06814,-10.8001,2,2
786688,8.46524,-12.1988,10,10
786689,7.40527,-11.4112,7,7
786690,8.57057,-12.243,5,5
393475,8.44128,-13.16,13,13
393476,8.75777,-11.0499,7,7
393477,8.18681,-10.7372,8,8
393478,8.48774,-12.446,4,4
393479,8.20129,-10.8046,3,3
393480,8.26047,-10.8736,7,7
524553,8.68338,-11.4128,8,8
271,8.48979,-13.247,6,6
524560,9.6805,-11.7267,5,5
993360,8.66721,-10.7457,29,999999999
655642,8.47999,-13.2745,3,3
655649,7.97903,-11.7485,5,5
655650,8.52831,-12.2159,4,4
786723,8.9823,-11.5205,10,10
786724,8.85195,-11.673,4,4
786728,7.9995,-11.0873,3,3
786729,8.58485,-12.8379,3,3
786730,8.25696,-10.6025,7,7
262446,8.46644,-13.2641,7,7
131375,8.96247,-12.5213,4,4
262448,8.01566,-11.6781,1,1
262449,8.66473,-10.9096,4,4
262450,9.429,-11.9644,2,2
262455,7.2805,-11.2485,9,9
262456,7.09032,-11.593,6,6
262457,8.48147,-13.2254,5,5
262458,7.96518,-11.7362,9,9
262459,8.43385,-12.9806,3,3
262460,8.2124,-11.6662,5,5
524606,8.54728,-10.922,6,6
524607,8.49738,-13.263,3,3
524608,7.00809,-11.4961,2,2
524609,8.64477,-10.9832,5,5
524610,7.89002,-11.5351,9,9
393542,9.72599,-12.4184,3,3
393544,8.2318,-12.3803,5,5
393545,9.46198,-12.4254,5,5
393546,9.48188,-12.3122,4,4
393547,7.11048,-11.4768,5,5
393548,9.12388,-11.7787,1,1
393549,9.03181,-13.0667,6,6
393550,8.83639,-12.4004,3,3
917839,8.78598,-10.5721,12,12
917840,7.97917,-10.9079,11,11
393557,8.48417,-13.2152,4,4
983098,8.4857,-13.2184,9,9
351,9.60438,-12.5778,4,4
524640,7.37559,-12.2524,3,3
939409,9.29161,-12.2381,3,3
981140,8.77152,-12.4201,3,3
786794,7.54871,-11.2448,10,10
152978,9.24027,-12.7612,5,5
262205,8.48899,-13.231,2,2
152979,7.36028,-12.3049,4,4
374,7.62192,-12.2348,7,7
152980,8.48363,-13.2118,6,6
827510,8.43532,-10.3259,7,7
380,8.46309,-13.2681,7,7
