Source,Target,Type
48640,48636,Undirected
48640,48637,Undirected
48640,48638,Undirected
48640,48639,Undirected
48660,27608,Undirected
56660,48493,Undirected
75380,75374,Undirected
80710,80702,Undirected
80710,80703,Undirected
80710,80704,Undirected
80710,80705,Undirected
80710,80706,Undirected
80710,80707,Undirected
80710,80708,Undirected
80710,80709,Undirected
111060,27824,Undirected
111060,80707,Undirected
111060,99142,Undirected
111060,106986,Undirected
111060,111057,Undirected
111060,111058,Undirected
111060,111059,Undirected
120850,27824,Undirected
120850,80707,Undirected
120850,99142,Undirected
120850,106986,Undirected
120850,111060,Undirected
120850,120844,Undirected
120850,120845,Undirected
120850,120846,Undirected
120850,120848,Undirected
120850,120849,Undirected
126090,126089,Undirected
143380,143373,Undirected
201320,129820,Undirected
201320,199673,Undirected
216390,107167,Undirected
216390,208819,Undirected
216390,216389,Undirected
230760,143373,Undirected
230760,143381,Undirected
230760,230755,Undirected
230760,230756,Undirected
230760,230757,Undirected
230760,230758,Undirected
230760,230759,Undirected
261760,261753,Undirected
263720,263713,Undirected
282660,230474,Undirected
282660,278391,Undirected
306380,107167,Undirected
306380,216390,Undirected
306380,247648,Undirected
306380,306373,Undirected
306380,306374,Undirected
306380,306375,Undirected
306380,306376,Undirected
306380,306377,Undirected
306380,306378,Undirected
306380,306379,Undirected
310910,310908,Undirected
310910,310909,Undirected
311420,311417,Undirected
311420,311418,Undirected
311420,311419,Undirected
320930,320929,Undirected
341850,341847,Undirected
341850,341848,Undirected
341850,341849,Undirected
355440,12975,Undirected
355440,110904,Undirected
355450,355440,Undirected
355450,355441,Undirected
355450,355442,Undirected
355450,355443,Undirected
355450,355444,Undirected
355450,355445,Undirected
355450,355446,Undirected
355450,355447,Undirected
355450,355448,Undirected
355450,355449,Undirected
357900,110904,Undirected
357900,355440,Undirected
362620,362617,Undirected
383660,355450,Undirected
383660,382239,Undirected
383660,382749,Undirected
383660,383653,Undirected
383660,383654,Undirected
383660,383655,Undirected
383660,383656,Undirected
383660,383657,Undirected
383660,383658,Undirected
383660,383659,Undirected
404270,404269,Undirected
408550,408543,Undirected
408550,408544,Undirected
408550,408545,Undirected
408550,408546,Undirected
408550,408547,Undirected
408550,408548,Undirected
408550,408549,Undirected
419400,257553,Undirected
427160,44104,Undirected
427160,91735,Undirected
427160,322305,Undirected
437490,6511,Undirected
437490,49671,Undirected
437490,82922,Undirected
437490,124959,Undirected
437490,272757,Undirected
437490,399797,Undirected
504750,504748,Undirected
509390,509385,Undirected
512670,129820,Undirected
512670,199673,Undirected
512670,201320,Undirected
531130,347834,Undirected
531130,456733,Undirected
539780,539777,Undirected
539780,539778,Undirected
539780,539779,Undirected
541540,454570,Undirected
541540,468688,Undirected
541540,506164,Undirected
565200,565199,Undirected
583360,58599,Undirected
583360,71783,Undirected
583360,156983,Undirected
583360,159304,Undirected
583360,303257,Undirected
583360,471491,Undirected
583360,479519,Undirected
583360,484728,Undirected
583360,493321,Undirected
583360,502507,Undirected
583360,583357,Undirected
583360,583358,Undirected
592130,325418,Undirected
592130,381033,Undirected
592130,493321,Undirected
592130,581976,Undirected
592130,592127,Undirected
592130,592128,Undirected
592130,592129,Undirected
594950,355447,Undirected
609880,399346,Undirected
609880,408544,Undirected
609880,425982,Undirected
609880,598206,Undirected
609880,598324,Undirected
609880,609105,Undirected
609880,609872,Undirected
609880,609873,Undirected
609880,609874,Undirected
609880,609875,Undirected
609880,609876,Undirected
609880,609877,Undirected
609880,609877,Undirected
609880,609878,Undirected
609880,609879,Undirected
615520,534502,Undirected
615520,592128,Undirected
615520,593044,Undirected
615520,601326,Undirected
615520,615514,Undirected
615520,615515,Undirected
615520,615516,Undirected
615520,615517,Undirected
615520,615518,Undirected
615520,615519,Undirected
615530,615514,Undirected
615530,615515,Undirected
615530,615516,Undirected
615530,615517,Undirected
615530,615518,Undirected
615530,615519,Undirected
615530,615520,Undirected
631580,91320,Undirected
631580,202739,Undirected
631580,226364,Undirected
631580,613132,Undirected
631580,631576,Undirected
631580,631577,Undirected
631580,631578,Undirected
631580,631579,Undirected
639790,83590,Undirected
639790,229093,Undirected
639790,267793,Undirected
639790,445527,Undirected
639790,525691,Undirected
641410,120446,Undirected
641410,263713,Undirected
641410,362617,Undirected
641410,641406,Undirected
641410,641407,Undirected
641410,641408,Undirected
641410,641409,Undirected
642680,454570,Undirected
642680,468688,Undirected
642680,506164,Undirected
642680,541540,Undirected
642680,588596,Undirected
642680,592195,Undirected
642680,596796,Undirected
642680,609876,Undirected
647800,454570,Undirected
647800,468688,Undirected
647800,506164,Undirected
647800,541540,Undirected
647800,588596,Undirected
647800,592195,Undirected
647800,596796,Undirected
647800,609876,Undirected
647800,642680,Undirected
647800,647797,Undirected
647800,647798,Undirected
647800,647799,Undirected
649390,649384,Undirected
649390,649385,Undirected
649390,649386,Undirected
649390,649387,Undirected
649390,649388,Undirected
649390,649389,Undirected
651450,62384,Undirected
651450,103934,Undirected
651450,379322,Undirected
651450,589782,Undirected
651450,651448,Undirected
651450,651449,Undirected
678650,208819,Undirected
678650,216390,Undirected
678650,653222,Undirected
684200,641406,Undirected
689080,80708,Undirected
689080,689078,Undirected
689080,689079,Undirected
704520,527585,Undirected
704520,704516,Undirected
704520,704517,Undirected
704520,704518,Undirected
704520,704519,Undirected
708500,6791,Undirected
708500,76255,Undirected
708500,226585,Undirected
708500,230271,Undirected
708500,231747,Undirected
708500,234665,Undirected
708500,375706,Undirected
708500,404269,Undirected
708500,605266,Undirected
708500,704516,Undirected
708500,708498,Undirected
708500,708499,Undirected
712610,341847,Undirected
712610,712608,Undirected
714900,355443,Undirected
715700,46654,Undirected
715700,150138,Undirected
715700,386545,Undirected
715700,489360,Undirected
715700,536354,Undirected
715700,631839,Undirected
715700,664389,Undirected
715700,715699,Undirected
725910,725907,Undirected
728120,728118,Undirected
747700,624170,Undirected
747700,637203,Undirected
747700,652895,Undirected
747700,709485,Undirected
747700,712608,Undirected
747700,747696,Undirected
747700,747697,Undirected
747700,747698,Undirected
747700,747699,Undirected
789250,215097,Undirected
789250,471989,Undirected
789250,645759,Undirected
789250,655127,Undirected
789250,743774,Undirected
789250,754114,Undirected
789250,758939,Undirected
789250,789240,Undirected
789250,789241,Undirected
789250,789242,Undirected
789250,789243,Undirected
789250,789244,Undirected
789250,789245,Undirected
789250,789246,Undirected
789250,789247,Undirected
789250,789248,Undirected
789250,789249,Undirected
795500,641409,Undirected
800690,80702,Undirected
800690,131906,Undirected
800690,252047,Undirected
800690,260236,Undirected
800690,302823,Undirected
800690,359429,Undirected
800690,392692,Undirected
800690,435632,Undirected
800690,449387,Undirected
800690,466727,Undirected
800690,542237,Undirected
800690,603156,Undirected
800690,751632,Undirected
800690,767004,Undirected
800690,800689,Undirected
813140,813139,Undirected
813150,27608,Undirected
813150,48660,Undirected
813150,289106,Undirected
813150,539888,Undirected
813150,578492,Undirected
813150,722717,Undirected
813150,813139,Undirected
813150,813140,Undirected
813150,813141,Undirected
813150,813142,Undirected
813150,813143,Undirected
813150,813144,Undirected
813150,813145,Undirected
813150,813146,Undirected
813150,813147,Undirected
813150,813148,Undirected
813150,813149,Undirected
827180,355447,Undirected
847600,847595,Undirected
847600,847596,Undirected
